Entry.name	Entry (UniProtAC)	Protein Name	Gene names
K1C40_HUMAN	Q6A162	"Keratin, type I cytoskeletal 40 (Cytokeratin-40) (CK-40) (Keratin-40) (K40) (Type I hair keratin Ka36)"	KRT40;KA36
TPM2_BOVIN	Q5KR48	Tropomyosin beta chain (Beta-tropomyosin) (Tropomyosin-2)	TPM2
HBBF_BOVIN	P02081	"Hemoglobin fetal subunit beta (Beta-globin, fetal) (Hemoglobin beta chain, fetal) (Hemoglobin gamma chain)"	
K2C73_HUMAN	Q86Y46	"Keratin, type II cytoskeletal 73 (Cytokeratin-73) (CK-73) (Keratin-73) (K73) (Type II inner root sheath-specific keratin-K6irs3) (Type-II keratin Kb36)"	KRT73;K6IRS3;KB36;KRT6IRS3
KNG1_BOVIN	P01044	Kininogen-1 (Kininogen I) (Thiol proteinase inhibitor) [Cleaved into: Kininogen-1 heavy chain; Bradykinin (Kallidin I); Lysyl-bradykinin (Kallidin II); Kininogen-1 light chain]	KNG1
ITIH3_BOVIN	P56652	Inter-alpha-trypsin inhibitor heavy chain H3 (ITI heavy chain H3) (ITI-HC3) (Inter-alpha-inhibitor heavy chain 3)	ITIH3
TRFE_BOVIN	Q29443	Serotransferrin (Transferrin) (Beta-1 metal-binding globulin) (Siderophilin)	TF
DMKN_HUMAN	Q6E0U4	Dermokine (Epidermis-specific secreted protein SK30/SK89)	DMKN;UNQ729/PRO1411
DMKN_HUMAN	Q6E0U4	Dermokine (Epidermis-specific secreted protein SK30/SK89)	DMKN;UNQ729/PRO1411
K1C39_MOUSE	Q6IFX4	"Keratin, type I cytoskeletal 39 (Cytokeratin-39) (CK-39) (Keratin-39) (K39) (Type I hair keratin Ka35)"	Krt39;Ka35
K1H1_MOUSE	Q61765	"Keratin, type I cuticular Ha1 (HKA-1) (Hair keratin, type I Ha1) (Keratin-31) (K31)"	Krt31;Hka1;Krt1-1;Krtha1
K1H1_MOUSE	A2A5Y0	"Keratin, type I cuticular Ha1 (HKA-1) (Hair keratin, type I Ha1) (Keratin-31) (K31)"	Krt31;Hka1;Krt1-1;Krtha1
K1C39_MOUSE	A2VCT4	"Keratin, type I cytoskeletal 39 (Cytokeratin-39) (CK-39) (Keratin-39) (K39) (Type I hair keratin Ka35)"	Krt39;Ka35
DMKN_HUMAN	A3EZ79	Dermokine (Epidermis-specific secreted protein SK30/SK89)	DMKN;UNQ729/PRO1411
DMKN_HUMAN	A3EZ82	Dermokine (Epidermis-specific secreted protein SK30/SK89)	DMKN;UNQ729/PRO1411
KNG1_BOVIN	P01044-1	Kininogen-1 (Kininogen I) (Thiol proteinase inhibitor) [Cleaved into: Kininogen-1 heavy chain; Bradykinin (Kallidin I); Lysyl-bradykinin (Kallidin II); Kininogen-1 light chain]	KNG1
KNG2_BOVIN	P01045-1	Kininogen-2 (Kininogen II) (Thiol proteinase inhibitor) [Cleaved into: Kininogen-2 heavy chain; Bradykinin (Kallidin I); Lysyl-bradykinin (Kallidin II); Kininogen-2 light chain]	KNG2
K1C10_MOUSE	P02535-1	"Keratin, type I cytoskeletal 10 (56 kDa cytokeratin) (Cytokeratin-10) (CK-10) (Keratin, type I cytoskeletal 59 kDa) (Keratin-10) (K10)"	Krt10;Krt1-10
ALBU_HUMAN	P02768-1	Albumin	ALB;GIG20;GIG42;PRO0903;PRO1708;PRO2044;PRO2619;PRO2675;UNQ696/PRO1341
AMY1A_HUMAN	P04745	"Alpha-amylase 1A (EC 3.2.1.1) (1,4-alpha-D-glucan glucanohydrolase 1) (Salivary alpha-amylase)"	AMY1A;AMY1
AMY1B_HUMAN	P04745	Alpha-amylase 1B (EC 3.2.1.1)	AMY1B;AMY1
AMY1C_HUMAN	P04745	Alpha-amylase 1C (EC 3.2.1.1)	AMY1C;AMY1
K1C13_MOUSE	P08730-1	"Keratin, type I cytoskeletal 13 (47 kDa cytokeratin) (Cytokeratin-13) (CK-13) (Keratin-13) (K13)"	Krt13;Krt1-13
K1C13_HUMAN	P13646-1	"Keratin, type I cytoskeletal 13 (Cytokeratin-13) (CK-13) (Keratin-13) (K13)"	KRT13
TRFE_BOVIN	Q0IIK2	Serotransferrin (Transferrin) (Beta-1 metal-binding globulin) (Siderophilin)	TF
ITIH3_BOVIN	Q0V8M9	Inter-alpha-trypsin inhibitor heavy chain H3 (ITI heavy chain H3) (ITI-HC3) (Inter-alpha-inhibitor heavy chain 3)	ITIH3
K2C72_HUMAN	Q14CN4-1	"Keratin, type II cytoskeletal 72 (Cytokeratin-72) (CK-72) (Keratin-72) (K72) (Type II inner root sheath-specific keratin-K6irs2) (Type-II keratin Kb35)"	KRT72;K6IRS2;KB35;KRT6;KRT6IRS2
KNG1_BOVIN	Q2KJ62	Kininogen-1 (Kininogen I) (Thiol proteinase inhibitor) [Cleaved into: Kininogen-1 heavy chain; Bradykinin (Kallidin I); Lysyl-bradykinin (Kallidin II); Kininogen-1 light chain]	KNG1
K2C73_HUMAN	Q32MB2	"Keratin, type II cytoskeletal 73 (Cytokeratin-73) (CK-73) (Keratin-73) (K73) (Type II inner root sheath-specific keratin-K6irs3) (Type-II keratin Kb36)"	KRT73;K6IRS3;KB36;KRT6IRS3
HBBF_BOVIN	Q3SX09	"Hemoglobin fetal subunit beta (Beta-globin, fetal) (Hemoglobin beta chain, fetal) (Hemoglobin gamma chain)"	
TPM2_BOVIN	Q3SX28	Tropomyosin beta chain (Beta-tropomyosin) (Tropomyosin-2)	TPM2
K1C39_HUMAN	Q6IFU6	"Keratin, type I cytoskeletal 39 (Cytokeratin-39) (CK-39) (Keratin-39) (K39) (Type I hair keratin Ka35)"	KRT39;KA35
KRT84_HUMAN	Q6ISB0	"Keratin, type II cuticular Hb4 (Keratin-84) (K84) (Type II hair keratin Hb4) (Type-II keratin Kb24)"	KRT84;KRTHB4
K2C80_HUMAN	Q6KB66-1	"Keratin, type II cytoskeletal 80 (Cytokeratin-80) (CK-80) (Keratin-80) (K80) (Type-II keratin Kb20)"	KRT80;KB20
KRT83_HUMAN	Q6NT21	"Keratin, type II cuticular Hb3 (Hair keratin K2.10) (Keratin-83) (K83) (Type II hair keratin Hb3) (Type-II keratin Kb23)"	KRT83;KRTHB3
K2C78_HUMAN	Q7RTT2	"Keratin, type II cytoskeletal 78 (Cytokeratin-78) (CK-78) (Keratin-5b) (Keratin-78) (K78) (Type-II keratin Kb40)"	KRT78;K5B;KB40
KRT34_HUMAN	Q8IUT8	"Keratin, type I cuticular Ha4 (Hair keratin, type I Ha4) (Keratin-34) (K34)"	KRT34;HHA4;HKA4;KRTHA4
K1H1_HUMAN	Q9UE12	"Keratin, type I cuticular Ha1 (Hair keratin, type I Ha1) (Keratin-31) (K31)"	KRT31;HHA1;HKA1;KRTHA1
KT33A_HUMAN	Q6NTB9	"Keratin, type I cuticular Ha3-I (Hair keratin, type I Ha3-I) (Keratin-33A) (K33A)"	KRT33A;HHA3-I;HKA3A;KRTHA3A
K2C78_HUMAN	Q8N1N4-2	"Keratin, type II cytoskeletal 78 (Cytokeratin-78) (CK-78) (Keratin-5b) (Keratin-78) (K78) (Type-II keratin Kb40)"	KRT78;K5B;KB40
KNG1_HUMAN	P01042	Kininogen-1 (Alpha-2-thiol proteinase inhibitor) (Fitzgerald factor) (High molecular weight kininogen) (HMWK) (Williams-Fitzgerald-Flaujeac factor) [Cleaved into: Kininogen-1 heavy chain; T-kinin (Ile-Ser-Bradykinin); Bradykinin (Kallidin I); Lysyl-bradykinin (Kallidin II); Kininogen-1 light chain; Low molecular weight growth-promoting factor]	KNG1;BDK;KNG
HBE_HUMAN	P02100	Hemoglobin subunit epsilon (Epsilon-globin) (Hemoglobin epsilon chain)	HBE1;HBE
A1BG_HUMAN	P04217	Alpha-1B-glycoprotein (Alpha-1-B glycoprotein)	A1BG
TRY2_HUMAN	P07478	Trypsin-2 (EC 3.4.21.4) (Anionic trypsinogen) (Serine protease 2) (Trypsin II)	PRSS2;TRY2;TRYP2
A2AP_HUMAN	P08697	Alpha-2-antiplasmin (Alpha-2-AP) (Alpha-2-plasmin inhibitor) (Alpha-2-PI) (Serpin F2)	SERPINF2;AAP;PLI
CO4B_HUMAN	P0C0L5	Complement C4-B (Basic complement C4) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 3) [Cleaved into: Complement C4 beta chain; Complement C4-B alpha chain; C4a anaphylatoxin; C4b-B; C4d-B; Complement C4 gamma chain]	C4B;CO4;CPAMD3;;C4B_2
CO7_HUMAN	P10643	Complement component C7	C7
TSP4_HUMAN	P35443	Thrombospondin-4	THBS4;TSP4
AFAM_HUMAN	P43652	Afamin (Alpha-albumin) (Alpha-Alb)	AFM;ALB2;ALBA
HBB_HUMAN	P68871	Hemoglobin subunit beta (Beta-globin) (Hemoglobin beta chain) [Cleaved into: LVV-hemorphin-7; Spinorphin]	HBB
HBG1_HUMAN	P69891	Hemoglobin subunit gamma-1 (Gamma-1-globin) (Hb F Agamma) (Hemoglobin gamma-1 chain) (Hemoglobin gamma-A chain)	HBG1;PRO2979
HBG2_HUMAN	P69892	Hemoglobin subunit gamma-2 (Gamma-2-globin) (Hb F Ggamma) (Hemoglobin gamma-2 chain) (Hemoglobin gamma-G chain)	HBG2
MTUS2_HUMAN	Q5JR59	Microtubule-associated tumor suppressor candidate 2 (Cardiac zipper protein) (Microtubule plus-end tracking protein TIP150) (Tracking protein of 150 kDa)	MTUS2;CAZIP;KIAA0774;TIP150
KT33A_HUMAN	O76009	"Keratin, type I cuticular Ha3-I (Hair keratin, type I Ha3-I) (Keratin-33A) (K33A)"	KRT33A;HHA3-I;HKA3A;KRTHA3A
K2C78_HUMAN	Q8N1N4	"Keratin, type II cytoskeletal 78 (Cytokeratin-78) (CK-78) (Keratin-5b) (Keratin-78) (K78) (Type-II keratin Kb40)"	KRT78;K5B;KB40
KNG1_HUMAN	P01042	Kininogen-1 (Alpha-2-thiol proteinase inhibitor) (Fitzgerald factor) (High molecular weight kininogen) (HMWK) (Williams-Fitzgerald-Flaujeac factor) [Cleaved into: Kininogen-1 heavy chain; T-kinin (Ile-Ser-Bradykinin); Bradykinin (Kallidin I); Lysyl-bradykinin (Kallidin II); Kininogen-1 light chain; Low molecular weight growth-promoting factor]	KNG1;BDK;KNG
HBE_HUMAN	P02100	Hemoglobin subunit epsilon (Epsilon-globin) (Hemoglobin epsilon chain)	HBE1;HBE
A1BG_HUMAN	P04217	Alpha-1B-glycoprotein (Alpha-1-B glycoprotein)	A1BG
TRY2_HUMAN	P07478	Trypsin-2 (EC 3.4.21.4) (Anionic trypsinogen) (Serine protease 2) (Trypsin II)	PRSS2;TRY2;TRYP2
A2AP_HUMAN	P08697	Alpha-2-antiplasmin (Alpha-2-AP) (Alpha-2-plasmin inhibitor) (Alpha-2-PI) (Serpin F2)	SERPINF2;AAP;PLI
CO4B_HUMAN	P0C0L5	Complement C4-B (Basic complement C4) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 3) [Cleaved into: Complement C4 beta chain; Complement C4-B alpha chain; C4a anaphylatoxin; C4b-B; C4d-B; Complement C4 gamma chain]	C4B;CO4;CPAMD3;;C4B_2
CO7_HUMAN	P10643	Complement component C7	C7
TSP4_HUMAN	P35443	Thrombospondin-4	THBS4;TSP4
AFAM_HUMAN	P43652	Afamin (Alpha-albumin) (Alpha-Alb)	AFM;ALB2;ALBA
HBB_HUMAN	P68871	Hemoglobin subunit beta (Beta-globin) (Hemoglobin beta chain) [Cleaved into: LVV-hemorphin-7; Spinorphin]	HBB
HBG1_HUMAN	P69891	Hemoglobin subunit gamma-1 (Gamma-1-globin) (Hb F Agamma) (Hemoglobin gamma-1 chain) (Hemoglobin gamma-A chain)	HBG1;PRO2979
HBG2_HUMAN	P69892	Hemoglobin subunit gamma-2 (Gamma-2-globin) (Hb F Ggamma) (Hemoglobin gamma-2 chain) (Hemoglobin gamma-G chain)	HBG2
MTUS2_HUMAN	Q5JR59	Microtubule-associated tumor suppressor candidate 2 (Cardiac zipper protein) (Microtubule plus-end tracking protein TIP150) (Tracking protein of 150 kDa)	MTUS2;CAZIP;KIAA0774;TIP150
RL40_HUMAN	CON__P62987	Ubiquitin-60S ribosomal protein L40 (CEP52) (Ubiquitin A-52 residue ribosomal protein fusion product 1) [Cleaved into: Ubiquitin; 60S ribosomal protein L40 (Large ribosomal subunit protein eL40)]	
RL14_HUMAN	CON__P50914	60S ribosomal protein L14 (CAG-ISL 7) (Large ribosomal subunit protein eL14)	
RL22_HUMAN	CON__P35268	60S ribosomal protein L22 (EBER-associated protein) (EAP) (Epstein-Barr virus small RNA-associated protein) (Heparin-binding protein HBp15) (Large ribosomal subunit protein eL22)	
RL27_HUMAN	CON__P61353	60S ribosomal protein L27 (Large ribosomal subunit protein eL27)	
RL36L_HUMAN	CON__Q969Q0	60S ribosomal protein L36a-like (Large ribosomal subunit protein eL42-like)	
RL28_HUMAN	CON__P46779	60S ribosomal protein L28 (Large ribosomal subunit protein eL28)	
RL8_HUMAN	CON__P62917	60S ribosomal protein L8 (Large ribosomal subunit protein uL2)	
RL38_HUMAN	CON__P63173	60S ribosomal protein L38 (Large ribosomal subunit protein eL38)	
RL32_HUMAN	CON__P62910	60S ribosomal protein L32 (Large ribosomal subunit protein eL32)	
RL19_HUMAN	CON__P84098	60S ribosomal protein L19 (Large ribosomal subunit protein eL19)	
RL23A_HUMAN	CON__P62750	60S ribosomal protein L23a (Large ribosomal subunit protein uL23)	
R39L5_HUMAN	CON__Q59GN2	Putative 60S ribosomal protein L39-like 5 (60S ribosomal protein L39 pseudogene 5)	
RL39_HUMAN	CON__P62891	60S ribosomal protein L39 (Large ribosomal subunit protein eL39)	
RL36_HUMAN	CON__Q9Y3U8	60S ribosomal protein L36 (Large ribosomal subunit protein eL36)	
RL31_HUMAN	CON__P62899	60S ribosomal protein L31 (Large ribosomal subunit protein eL31)	
RL6_HUMAN	CON__Q02878	60S ribosomal protein L6 (Large ribosomal subunit protein eL6) (Neoplasm-related protein C140) (Tax-responsive enhancer element-binding protein 107) (TaxREB107)	
RL30_HUMAN	CON__P62888	60S ribosomal protein L30 (Large ribosomal subunit protein eL30)	
RL11_HUMAN	CON__P62913	60S ribosomal protein L11 (CLL-associated antigen KW-12) (Large ribosomal subunit protein uL5)	
RL26_HUMAN	CON__P61254	60S ribosomal protein L26 (Large ribosomal subunit protein uL24)	
RL24_HUMAN	CON__P83731	60S ribosomal protein L24 (60S ribosomal protein L30) (Large ribosomal subunit protein eL24)	
RL12_HUMAN	CON__P30050	60S ribosomal protein L12 (Large ribosomal subunit protein uL11)	
RL7L_HUMAN	CON__Q6DKI1	60S ribosomal protein L7-like 1 (Large ribosomal subunit protein uL30-like 1)	
RL5_HUMAN	CON__P46777	60S ribosomal protein L5 (Large ribosomal subunit protein uL18)	
RL10_HUMAN	CON__P27635	60S ribosomal protein L10 (Laminin receptor homolog) (Large ribosomal subunit protein uL16) (Protein QM) (Ribosomal protein L10) (Tumor suppressor QM)	
RL18_HUMAN	CON__Q07020	60S ribosomal protein L18 (Large ribosomal subunit protein eL18)	
RL15_HUMAN	CON__P61313	60S ribosomal protein L15 (Large ribosomal subunit protein eL15)	
RLA0_HUMAN	CON__P05388	60S acidic ribosomal protein P0 (60S ribosomal protein L10E) (Large ribosomal subunit protein uL10)	
RL21_HUMAN	CON__P46778	60S ribosomal protein L21 (Large ribosomal subunit protein eL21)	
RL4_HUMAN	CON__P36578	60S ribosomal protein L4 (60S ribosomal protein L1) (Large ribosomal subunit protein uL4)	
RL9_HUMAN	CON__P32969	60S ribosomal protein L9 (Large ribosomal subunit protein uL6)	
RL13A_HUMAN	CON__P40429	60S ribosomal protein L13a (23 kDa highly basic protein) (Large ribosomal subunit protein uL13)	
RL17_HUMAN	CON__P18621	60S ribosomal protein L17 (60S ribosomal protein L23) (Large ribosomal subunit protein uL22) (PD-1)	
RL18A_HUMAN	CON__Q02543	60S ribosomal protein L18a (Large ribosomal subunit protein eL20)	
RL37A_HUMAN	CON__P61513	60S ribosomal protein L37a (Large ribosomal subunit protein eL43)	
RL35_HUMAN	CON__P42766	60S ribosomal protein L35 (Large ribosomal subunit protein uL29)	
RL23_HUMAN	CON__P62829	60S ribosomal protein L23 (60S ribosomal protein L17) (Large ribosomal subunit protein uL14)	
RL13_HUMAN	CON__P26373	60S ribosomal protein L13 (Breast basic conserved protein 1) (Large ribosomal subunit protein eL13)	
RL35A_HUMAN	CON__P18077	60S ribosomal protein L35a (Cell growth-inhibiting gene 33 protein) (Large ribosomal subunit protein eL33)	
RL10A_HUMAN	CON__P62906	60S ribosomal protein L10a (CSA-19) (Large ribosomal subunit protein uL1) (Neural precursor cell expressed developmentally down-regulated protein 6) (NEDD-6)	
RL27A_HUMAN	CON__P46776	60S ribosomal protein L27a (Large ribosomal subunit protein uL15)	
RL34_HUMAN	CON__P49207	60S ribosomal protein L34 (Large ribosomal subunit protein eL34)	
RL3_HUMAN	CON__P39023	60S ribosomal protein L3 (HIV-1 TAR RNA-binding protein B) (TARBP-B) (Large ribosomal subunit protein uL3)	
RL7_HUMAN	CON__P18124	60S ribosomal protein L7 (Large ribosomal subunit protein uL30)	
RL26L_HUMAN	CON__Q9UNX3	60S ribosomal protein L26-like 1 (Large ribosomal subunit protein uL24-like 1)	
RL29_HUMAN	CON__P47914	60S ribosomal protein L29 (Cell surface heparin-binding protein HIP) (Large ribosomal subunit protein eL29)	
RL7A_HUMAN	CON__P62424	60S ribosomal protein L7a (Large ribosomal subunit protein eL8) (PLA-X polypeptide) (Surfeit locus protein 3)	
RS27A_HUMAN	CON__P62979	Ubiquitin-40S ribosomal protein S27a (Ubiquitin carboxyl extension protein 80) [Cleaved into: Ubiquitin; 40S ribosomal protein S27a (Small ribosomal subunit protein eS31)]	
RS28_HUMAN	CON__P62857	40S ribosomal protein S28 (Small ribosomal subunit protein eS28)	
RS27_HUMAN	CON__P42677	40S ribosomal protein S27 (Metallopan-stimulin 1) (MPS-1) (Small ribosomal subunit protein eS27)	
RS21_HUMAN	CON__P63220	40S ribosomal protein S21 (Small ribosomal subunit protein eS21)	
RS30_HUMAN	CON__P62861	FAU ubiquitin-like and ribosomal protein S30 [Cleaved into: Ubiquitin-like protein FUBI; 40S ribosomal protein S30 (Small ribosomal subunit protein eS30)]	
RS3_HUMAN	CON__P23396	40S ribosomal protein S3 (EC 4.2.99.18) (Small ribosomal subunit protein uS3)	
RS8_HUMAN	CON__P62241	40S ribosomal protein S8 (Small ribosomal subunit protein eS8)	
RS4X_HUMAN	CON__P62701	"40S ribosomal protein S4, X isoform (SCR10) (Single copy abundant mRNA protein) (Small ribosomal subunit protein eS4)"	
RSSA_HUMAN	CON__P08865	40S ribosomal protein SA (37 kDa laminin receptor precursor) (37LRP) (37/67 kDa laminin receptor) (LRP/LR) (67 kDa laminin receptor) (67LR) (Colon carcinoma laminin-binding protein) (Laminin receptor 1) (LamR) (Laminin-binding protein precursor p40) (LBP/p40) (Multidrug resistance-associated protein MGr1-Ag) (NEM/1CHD4) (Small ribosomal subunit protein uS2)	
RS11_HUMAN	CON__P62280	40S ribosomal protein S11 (Small ribosomal subunit protein uS17)	
RS24_HUMAN	CON__P62847	40S ribosomal protein S24 (Small ribosomal subunit protein eS24)	
RS16_HUMAN	CON__P62249	40S ribosomal protein S16 (Small ribosomal subunit protein uS9)	
RS23_HUMAN	CON__P62266	40S ribosomal protein S23 (Small ribosomal subunit protein uS12)	
RS18_HUMAN	CON__P62269	40S ribosomal protein S18 (Ke-3) (Ke3) (Small ribosomal subunit protein uS13)	
RS15_HUMAN	CON__P62841	40S ribosomal protein S15 (RIG protein) (Small ribosomal subunit protein uS19)	
RS2_HUMAN	CON__P15880	40S ribosomal protein S2 (40S ribosomal protein S4) (Protein LLRep3) (Small ribosomal subunit protein uS5)	
RS9_HUMAN	CON__P46781	40S ribosomal protein S9 (Small ribosomal subunit protein uS4)	
RS26_HUMAN	CON__P62854	40S ribosomal protein S26 (Small ribosomal subunit protein eS26)	
RS26L_HUMAN	CON__Q5JNZ5	Putative 40S ribosomal protein S26-like 1	
RS14_HUMAN	CON__P62263	40S ribosomal protein S14 (Small ribosomal subunit protein uS11)	
RS6_HUMAN	CON__P62753	40S ribosomal protein S6 (Phosphoprotein NP33) (Small ribosomal subunit protein eS6)	
RS25_HUMAN	CON__P62851	40S ribosomal protein S25 (Small ribosomal subunit protein eS25)	
RS15A_HUMAN	CON__P62244	40S ribosomal protein S15a (Small ribosomal subunit protein uS8)	
RS17_HUMAN	CON__P08708	40S ribosomal protein S17 (Small ribosomal subunit protein eS17)	
RS13_HUMAN	CON__P62277	40S ribosomal protein S13 (Small ribosomal subunit protein uS15)	
RS5_HUMAN	CON__P46782	"40S ribosomal protein S5 (Small ribosomal subunit protein uS7) [Cleaved into: 40S ribosomal protein S5, N-terminally processed]"	
RS27L_HUMAN	CON__Q71UM5	40S ribosomal protein S27-like (Small ribosomal subunit protein eS27-like)	
RS3A_HUMAN	CON__P61247	40S ribosomal protein S3a (Small ribosomal subunit protein eS1) (v-fos transformation effector protein) (Fte-1)	
RS20_HUMAN	CON__P60866	40S ribosomal protein S20 (Small ribosomal subunit protein uS10)	
RS10_HUMAN	CON__P46783	40S ribosomal protein S10 (Small ribosomal subunit protein eS10)	
RS19_HUMAN	CON__P39019	40S ribosomal protein S19 (Small ribosomal subunit protein eS19)	
RS4Y1_HUMAN	CON__P22090	"40S ribosomal protein S4, Y isoform 1 (Small ribosomal subunit protein eS4)"	
RS7_HUMAN	CON__P62081	40S ribosomal protein S7 (Small ribosomal subunit protein eS7)	
RS12_HUMAN	CON__P25398	40S ribosomal protein S12 (Small ribosomal subunit protein eS12)	
RS29_HUMAN	CON__P62273	40S ribosomal protein S29 (Small ribosomal subunit protein uS14)	
K22E_HUMAN	CON__P35908	"Keratin, type II cytoskeletal 2 epidermal (Cytokeratin-2e) (CK-2e) (Epithelial keratin-2e) (Keratin-2 epidermis) (Keratin-2e) (K2e) (Type-II keratin Kb2)"	
KPRP_HUMAN	CON__Q5T749	Keratinocyte proline-rich protein (hKPRP)	
KR87P_HUMAN	CON__A6NCN2	"Putative keratin-87 protein (Keratin, hair, basic pseudogene 4) (Keratin-121 pseudogene)"	
K2C6B_HUMAN	CON__P04259	"Keratin, type II cytoskeletal 6B (Cytokeratin-6B) (CK-6B) (Keratin-6B) (K6B) (Type-II keratin Kb10)"	
H10_HUMAN	CON__P07305	"Histone H1.0 (Histone H1') (Histone H1(0)) [Cleaved into: Histone H1.0, N-terminally processed]"	
H14_HUMAN	CON__P10412	Histone H1.4 (Histone H1b) (Histone H1s-4)	
H13_HUMAN	CON__P16402	Histone H1.3 (Histone H1c) (Histone H1s-2)	
H1X_HUMAN	CON__Q92522	Histone H1.10 (Histone H1x)	
H2A1J_HUMAN	CON__Q99878	Histone H2A type 1-J (Histone H2A/e)	
H2A1H_HUMAN	CON__Q96KK5	Histone H2A type 1-H (H2A-clustered histone 12) (Histone H2A/s)	
H2AJ_HUMAN	CON__Q9BTM1	Histone H2A.J (H2a/j)	
H2A2C_HUMAN	CON__Q16777	Histone H2A type 2-C (H2A-clustered histone 20) (Histone H2A-GL101) (Histone H2A/q)	
H2A2A_HUMAN	CON__Q6FI13	Histone H2A type 2-A (H2A-clustered histone 18) (H2A-clustered histone 19) (Histone H2A.2) (Histone H2A/o)	
H2A1D_HUMAN	CON__P20671	Histone H2A type 1-D (Histone H2A.3) (Histone H2A/g)	
H2A1_HUMAN	CON__P0C0S8	Histone H2A type 1 (H2A.1) (Histone H2A/ptl)	
H2A1C_HUMAN	CON__Q93077	Histone H2A type 1-C (H2A-clustered histone 6) (Histone H2A/l)	
H2A3_HUMAN	CON__Q7L7L0	Histone H2A type 3 (H2A-clustered histone 25)	
H2A1B_HUMAN	CON__P04908	Histone H2A type 1-B/E (Histone H2A.2) (Histone H2A/a) (Histone H2A/m)	
H2A1A_HUMAN	CON__Q96QV6	Histone H2A type 1-A (H2A-clustered histone 1) (Histone H2A/r)	
H2AX_HUMAN	CON__P16104	Histone H2AX (H2a/x) (Histone H2A.X)	
H2B1H_HUMAN	CON__Q93079	Histone H2B type 1-H (H2B-clustered histone 9) (Histone H2B.j) (H2B/j)	
H2B2F_HUMAN	CON__Q5QNW6	Histone H2B type 2-F (H2B-clustered histone 18)	
H2B1C_HUMAN	CON__P62807	Histone H2B type 1-C/E/F/G/I (Histone H2B.1 A) (Histone H2B.a) (H2B/a) (Histone H2B.g) (H2B/g) (Histone H2B.h) (H2B/h) (Histone H2B.k) (H2B/k) (Histone H2B.l) (H2B/l)	
H2B1K_HUMAN	CON__O60814	Histone H2B type 1-K (H2B K) (HIRA-interacting protein 1)	
H2B1L_HUMAN	CON__Q99880	Histone H2B type 1-L (Histone H2B.c) (H2B/c)	
H2B1M_HUMAN	CON__Q99879	Histone H2B type 1-M (Histone H2B.e) (H2B/e)	
H2B1N_HUMAN	CON__Q99877	Histone H2B type 1-N (Histone H2B.d) (H2B/d)	
H2B1D_HUMAN	CON__P58876	Histone H2B type 1-D (H2B-clustered histone 5) (HIRA-interacting protein 2) (Histone H2B.1 B) (Histone H2B.b) (H2B/b)	
H2BFS_HUMAN	CON__P57053	Histone H2B type F-S (H2B-clustered histone 12 like) (H2B.S histone 1) (Histone H2B.s) (H2B/s)	
H2B1O_HUMAN	CON__P23527	Histone H2B type 1-O (H2B-clustered histone 17) (Histone H2B.2) (Histone H2B.n) (H2B/n)	
PSD12_HUMAN	CON__O00232	26S proteasome non-ATPase regulatory subunit 12 (26S proteasome regulatory subunit RPN5) (26S proteasome regulatory subunit p55)	
PRS8_HUMAN	CON__P62195	26S proteasome regulatory subunit 8 (26S proteasome AAA-ATPase subunit RPT6) (Proteasome 26S subunit ATPase 5) (Proteasome subunit p45) (Thyroid hormone receptor-interacting protein 1) (TRIP1) (p45/SUG)	
PSDE_HUMAN	CON__O00487	26S proteasome non-ATPase regulatory subunit 14 (EC 3.4.19.-) (26S proteasome regulatory subunit RPN11) (26S proteasome-associated PAD1 homolog 1)	
ADRM1_HUMAN	CON__Q16186	Proteasomal ubiquitin receptor ADRM1 (110 kDa cell membrane glycoprotein) (Gp110) (Adhesion-regulating molecule 1) (ARM-1) (Proteasome regulatory particle non-ATPase 13) (hRpn13) (Rpn13 homolog)	
PRS7_HUMAN	CON__P35998	26S proteasome regulatory subunit 7 (26S proteasome AAA-ATPase subunit RPT1) (Proteasome 26S subunit ATPase 2)	
PSMD2_HUMAN	CON__Q13200	26S proteasome non-ATPase regulatory subunit 2 (26S proteasome regulatory subunit RPN1) (26S proteasome regulatory subunit S2) (26S proteasome subunit p97) (Protein 55.11) (Tumor necrosis factor type 1 receptor-associated protein 2)	
PRS6A_HUMAN	CON__P17980	26S proteasome regulatory subunit 6A (26S proteasome AAA-ATPase subunit RPT5) (Proteasome 26S subunit ATPase 3) (Proteasome subunit P50) (Tat-binding protein 1) (TBP-1)	
PSMD4_HUMAN	CON__P55036	26S proteasome non-ATPase regulatory subunit 4 (26S proteasome regulatory subunit RPN10) (26S proteasome regulatory subunit S5A) (Antisecretory factor 1) (AF) (ASF) (Multiubiquitin chain-binding protein)	
PSMD5_HUMAN	CON__Q16401	26S proteasome non-ATPase regulatory subunit 5 (26S protease subunit S5 basic) (26S proteasome subunit S5B)	
PSD11_HUMAN	CON__O00231	26S proteasome non-ATPase regulatory subunit 11 (26S proteasome regulatory subunit RPN6) (26S proteasome regulatory subunit S9) (26S proteasome regulatory subunit p44.5)	
PSME2_HUMAN	CON__Q9UL46	Proteasome activator complex subunit 2 (11S regulator complex subunit beta) (REG-beta) (Activator of multicatalytic protease subunit 2) (Proteasome activator 28 subunit beta) (PA28b) (PA28beta)	
PSMF1_HUMAN	CON__Q92530	Proteasome inhibitor PI31 subunit (hPI31)	
